SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00098-100mm-d2o-12-23-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 111 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.410e+00    -1.683e-03  
T     =       3.984s      157.252s  

RSS   =    4.170e-02
SD    =    3.728e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.095e+00     9.521e-02
    2       2.000s     9.033e-01     8.517e-01    -5.156e-02
    3       3.000s     7.686e-01     6.623e-01    -1.063e-01
    4       4.000s     5.888e-01     5.149e-01    -7.384e-02
    5       5.000s     4.029e-01     4.003e-01    -2.584e-03
    6       6.000s     2.619e-01     3.111e-01     4.913e-02
    7       7.000s     1.820e-01     2.417e-01     5.963e-02
    8       8.000s     1.397e-01     1.877e-01     4.793e-02
    9       9.000s     1.076e-01     1.457e-01     3.810e-02
   10      10.000s     7.969e-02     1.130e-01     3.330e-02
   11      11.000s     6.267e-02     8.757e-02     2.490e-02
   12      12.000s     5.612e-02     6.779e-02     1.167e-02
   13      13.000s     5.219e-02     5.241e-02     2.136e-04
   14      14.000s     4.712e-02     4.044e-02    -6.680e-03
   15      15.000s     4.301e-02     3.113e-02    -1.188e-02
   16      16.000s     4.028e-02     2.389e-02    -1.639e-02
   17      17.000s     3.617e-02     1.826e-02    -1.791e-02
   18      18.000s     3.033e-02     1.388e-02    -1.645e-02
   19      19.000s     2.535e-02     1.048e-02    -1.487e-02
   20      20.000s     2.154e-02     7.829e-03    -1.371e-02
   21      21.000s     1.647e-02     5.771e-03    -1.070e-02
   22      22.000s     1.024e-02     4.173e-03    -6.069e-03
   23      23.000s     6.145e-03     2.931e-03    -3.214e-03
   24      24.000s     5.196e-03     1.967e-03    -3.230e-03
   25      25.000s     4.560e-03     1.219e-03    -3.341e-03
   26      26.000s     2.542e-03     6.386e-04    -1.903e-03
   27      27.000s     9.663e-04     1.892e-04    -7.771e-04
   28      28.000s     1.148e-03    -1.584e-04    -1.306e-03
   29      29.000s     1.393e-03    -4.270e-04    -1.820e-03
   30      30.000s     3.283e-04    -6.340e-04    -9.623e-04

============================================================

