SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00098-100mm-d2o-12-23-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 350 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.444e+00     4.469e-02  
T     =       2.654s       18.784s  

RSS   =    7.661e-03
SD    =    1.598e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.033e+00     3.295e-02
    2       2.000s     7.742e-01     7.198e-01    -5.441e-02
    3       3.000s     5.268e-01     5.043e-01    -2.245e-02
    4       4.000s     3.385e-01     3.560e-01     1.745e-02
    5       5.000s     2.301e-01     2.537e-01     2.357e-02
    6       6.000s     1.695e-01     1.830e-01     1.353e-02
    7       7.000s     1.232e-01     1.341e-01     1.083e-02
    8       8.000s     8.630e-02     1.000e-01     1.375e-02
    9       9.000s     6.612e-02     7.629e-02     1.016e-02
   10      10.000s     5.904e-02     5.959e-02     5.544e-04
   11      11.000s     5.331e-02     4.776e-02    -5.547e-03
   12      12.000s     4.542e-02     3.929e-02    -6.133e-03
   13      13.000s     4.067e-02     3.314e-02    -7.537e-03
   14      14.000s     4.081e-02     2.860e-02    -1.221e-02
   15      15.000s     4.103e-02     2.518e-02    -1.586e-02
   16      16.000s     3.846e-02     2.254e-02    -1.592e-02
   17      17.000s     3.508e-02     2.046e-02    -1.462e-02
   18      18.000s     3.165e-02     1.878e-02    -1.287e-02
   19      19.000s     2.583e-02     1.737e-02    -8.453e-03
   20      20.000s     1.778e-02     1.618e-02    -1.597e-03
   21      21.000s     1.168e-02     1.514e-02     3.463e-03
   22      22.000s     9.557e-03     1.422e-02     4.658e-03
   23      23.000s     8.536e-03     1.338e-02     4.848e-03
   24      24.000s     6.170e-03     1.262e-02     6.455e-03
   25      25.000s     4.066e-03     1.192e-02     7.859e-03
   26      26.000s     3.936e-03     1.128e-02     7.340e-03
   27      27.000s     4.166e-03     1.067e-02     6.504e-03
   28      28.000s     2.981e-03     1.010e-02     7.121e-03
   29      29.000s     1.623e-03     9.569e-03     7.946e-03
   30      30.000s     1.687e-03     9.066e-03     7.379e-03

============================================================

